id,name,chain,protocol,base,reward,apy,tvl,link,is_new,watched,class,has_rewards
17096,USDC-DAI,Polygon,Beefy,0.01277305,0.0,0.01277305,122112,https://api.coindix.com/vault/17096/redirect,False,False,C,no
22931,DAI,Ethereum,Aave,0.01272303,0.0,0.01272303,263633753,https://api.coindix.com/vault/22931/redirect,False,False,A,no
63470,DAI-USDT,BNB Chain,MDEX,7.343e-05,0.0126297,0.01270313,91592,https://api.coindix.com/vault/63470/redirect,False,False,C,yes
74321,USDC-DAI,Fantom,Beefy,0.01243348,0.0,0.01243348,65124,https://api.coindix.com/vault/74321/redirect,False,False,C,no
32723,MIM-USDC.e,Avalanche,Trader Joe,0.012,0.0,0.012,91121,https://api.coindix.com/vault/32723/redirect,False,False,C,no
24783,USDC,Ethereum,Compound,0.00686139,0.00507223,0.01193363,614204405,https://api.coindix.com/vault/24783/redirect,False,False,A,yes
106105,TUSD,BNB Chain,Valas,0.0027,0.0092,0.0119,1330000,https://api.coindix.com/vault/106105/redirect,False,False,C,yes
14494,DAI-USDT,BNB Chain,Autofarm,0.0115391,0.0,0.0115391,66278,https://api.coindix.com/vault/14494/redirect,False,False,C,no
16349,BUSD-USDC,BNB Chain,Beefy,0.01149585,0.0,0.01149585,436485,https://api.coindix.com/vault/16349/redirect,False,False,C,no
15262,USDC.e-USDT.e,Avalanche,Trader Joe,0.0114,0.0,0.0114,169086,https://api.coindix.com/vault/15262/redirect,False,False,C,no
15266,USDC.e-DAI.e,Avalanche,Trader Joe,0.0113,0.0,0.0113,57570,https://api.coindix.com/vault/15266/redirect,False,False,C,no
17151,USDC-USDT,Polygon,Beefy,0.01079038,0.0,0.01079038,135470,https://api.coindix.com/vault/17151/redirect,False,False,C,no
14226,USDT.E,Avalanche,Aave,0.0105413,0.0,0.0105413,11976964,https://api.coindix.com/vault/14226/redirect,False,False,B,no
17281,USDC,Ethereum,Yearn,0.0099,0.0,0.0099,56072565,https://api.coindix.com/vault/17281/redirect,False,False,A,no
67917,USDC,Avalanche,Benqi,0.0098,0.0,0.0098,9220000,https://api.coindix.com/vault/67917/redirect,False,False,C,no
22955,USDT,Polygon,Aave,0.00964689,0.0,0.00964689,21195123,https://api.coindix.com/vault/22955/redirect,False,False,B,no
14117,Balancer Stable USD,Ethereum,Balancer,0.0025,0.0071,0.0096,9607591,https://api.coindix.com/vault/14117/redirect,False,False,C,yes
272316,DAI-USDT,Ethereum,Uniswap,0.0095536,0.0,0.0095536,1073068,https://api.coindix.com/vault/272316/redirect,False,False,C,no
17679,TUSD,BNB Chain,Venus,0.00628798,0.00271475,0.00900273,15270738,https://api.coindix.com/vault/17679/redirect,False,False,B,yes
